Datum;Superzahl;Anz. Kl. 1;  Quote Kl. 1;Anz. Kl. 2;  Quote Kl. 2;Anz. Kl. 3;  Quote Kl. 3;Anz. Kl. 4;  Quote Kl. 4;Anz. Kl. 5;  Quote Kl. 5;Anz. Kl. 6;  Quote Kl. 6;Anz. Kl. 7;  Quote Kl. 7;Anz. Kl. 8;  Quote Kl. 8;Anz. Kl. 9;  Quote Kl. 9
01.08.2018;2;   Jackpot;5.199.411,20;   Jackpot;782.483,70;15;26.082,70;206;5.697,60;1.556;251,4;13.840;56,5;29.646;26,3;286.829;12,2;237.490;5;46;25;22;45;2;32
04.08.2018;3;   Jackpot;7.949.268,10;   Jackpot;2.377.111,70;56;14.237,70;339;7.055,80;2.887;276,1;24.113;66,1;64.502;24,7;561.752;12,7;557.424;5;36;25;29;30;6;31
08.08.2018;0;   Jackpot;9.325.298,20;2;1.597.535,60;31;13.192,80;316;3.882,70;1.751;233,5;19.734;41,4;31.834;25,6;376.291;9,7;238.922;5;11;49;8;40;26;18
11.08.2018;8;   Jackpot;12.154.791,20;1;1.617.899,10;67;12.073,80;445;5.453,50;3.319;243,7;26.606;60,8;74.136;21,8;585.226;12,4;619.386;5;5;8;47;46;10;36
15.08.2018;9;   Jackpot;13.594.020,50;1;834.635,40;35;11.923,30;439;2.851,80;2.222;187,8;21.720;38,4;39.389;21,1;394.699;9,5;291.679;5;13;6;31;24;18;29
18.08.2018;3;   Jackpot;16.503.717,20;2;850.616,60;56;15.189,50;432;5.907,00;2.975;285,9;25.601;66,4;65.904;25,8;566.577;13,5;561.995;5;1;14;46;42;34;3
22.08.2018;0;   Jackpot;18.016.179,40;3;300.890,30;30;15.044,50;389;3.480,70;1.882;239,8;24.305;37,1;37.075;24,3;453.105;8,9;255.388;5;7;15;16;26;6;32
25.08.2018;2;   Jackpot;21.036.097,80;   Jackpot;1.792.256,40;51;17.571,10;526;5.110,90;3.238;276,7;32.408;55,3;66.803;26,8;666.338;12,1;530.126;5;37;31;8;16;15;20
29.08.2018;9;   Jackpot;22.653.233,40;2;1.366.090,50;44;10.680,90;389;3.624,30;2.288;205,4;21.993;42,7;43.483;21,6;431.063;9,8;323.498;5;21;24;3;17;22;39
01.09.2018;1;   Jackpot;25.838.830,20;4;471.965,00;65;14.522,00;766;3.696,80;3.584;263,3;40.326;46,8;71.501;26,4;768.003;11;564.655;5;39;46;4;12;38;21
05.09.2018;4;1;29.053.125,40;        --;           --;52;11.290,80;432;4.077,20;3.190;184;29.552;39,7;58.263;20,1;531.739;9,9;431.056;5;37;15;9;46;13;3
08.09.2018;2;   Jackpot;2.847.737,50;2;840.884,80;31;27.125,30;453;5.568,70;2.978;282,3;32.669;51,4;64.340;26,1;664.313;11,3;516.503;5;44;23;29;27;30;6
12.09.2018;6;   Jackpot;4.233.793,30;1;765.804,00;59;6.489,80;370;3.104,60;2.844;134,6;21.504;35,6;49.917;15,3;387.595;8,8;356.893;5;13;28;7;24;31;32
